Subject;Party;RevAOTE;CRT_ACC;Conspiracist_Ideation;Paranormal_Belief;MV_Traditional;MV_CareFairness;Social_Conserv;Fiscal_Conserv;FreeMarketIdeology;ConservativeOpinions;Science_Overall;Religious_Belief;GodType;Theism;PolCat;Conservatism;IdeologicalStrength;DemRep_C;MV_Rationality;Random;P.Abortion;P.GayMarriage;P.Military;P.CapitalPunishment;P.MenFeminism;P.PoliceAuthority;P.War;P.ControlSpeakers;P.MenSexism;P.MicroAggressions;GovTrust;P.GlobalWarming;P.BigBang;P.Evolution;P.OldEarth;P.StemCell;P.Vaccines;P.TechProblems;P.ModernMedicine;P.IQHeritable;P.Detox;P.Genes;P.GM_Health;P.NuclearPower;TrustScien;Education.0;ResponseID;ResponseSet;Name;ExternalDataReference;Email;Status;StartDate;EndDate;Finished;age;gender;hhi;ethnicity;hispanic;education;political_party;region;confirmCode;Order;Consent;AOT2;AOT2_1;AOT2_2;AOT2_3;AOT2_4;AOT2_5;AOT2_6;AOT2_7;AOT2_8;AOT_RT_1;AOT_RT_2;AOT_RT_3;AOT_RT_4;CI;CI_1;CI_2;CI_3;CI_4;CI_5;CI_6;CI_7;CI_8;CI_9;CI_10;CI_11;CI_12;CI_13;CI_14;CI_15;CI_RT_1;CI_RT_2;CI_RT_3;CI_RT_4;PB;PB_1;PB_2;PB_3;PB_4;PB_5;PB_6;PB_7;PB_8;PB_9;PB_10;PB_11;PB_12;PB_13;PB_14;PB_15;PB_16;PB_17;PB_18;PB_19;PB_20;PB_21;PB_22;PB_RT_1;PB_RT_2;PB_RT_3;PB_RT_4;Moral;Kindness;Purity;Autonomy;Helfpulnes;RespectAut;Fairness;AvoidHarm;Rights;Patriotism;RespectTra;Knowledge;Facts;Empiricism;Irrational;Ignorance;Moral_RT_1;Moral_RT_2;Moral_RT_3;Moral_RT_4;Sci;Evolution;GlobalWarm;TechProble;GM_Health;BigBang;Vaccines;OldEarth;ModMedicin;StemCell;IQHeritable;Detox;NuclearPower;Genes;Sci_RT_1;Sci_RT_2;Sci_RT_3;Sci_RT_4;Politic;Abortion;GayMarriag;War;CapitalPun;Military;PoliceAuth;Microaggre;ControSpea;MenSexism;MenFeminis;FMI_1;FMI_2;FMI_3;FMI_4;FMI_5;Politic_RT_1;Politic_RT_2;Politic_RT_3;Politic_RT_4;Rb_1;Rb_2;Rb_3;Rb_4;Rb_5;Rb_6;Rb_7;Rb_8;Rb_9;CRTInst;CRT1_1;CRT1_2;CRT1_3;CRT3_1;CRT3_2;CRT3_3;Age.0;English;Income;Ethnicity_1;Ethnicity_2;Ethnicity_3;Ethnicity_4;Ethnicity_5;Ethnicity_6;Ethnicity_6_TEXT;Ethnicity_8;Social_Conservatism;Fiscal_Conservatism;Party_TEXT;POTUS2016;Trump_favorability_1;Trump_2020;Gender.0;Gender_2;Gender_TEXT;LocationLatitude;LocationLongitude;LocationAccuracy;AOT2b_1;AOT2b_2;AOT2b_3;AOT2b_4;AOT2b_5;AOT2b_6;AOT2b_7;AOT2b_8;P.AOT2_1;P.AOT2_2;P.AOT2_3;P.AOT2_4;P.AOT2_5;P.AOT2_6;P.AOT2_7;P.AOT2_8;P.CI_1;P.CI_2;P.CI_3;P.CI_4;P.CI_5;P.CI_6;P.CI_7;P.CI_8;P.CI_9;P.CI_10;P.CI_11;P.CI_12;P.CI_13;P.CI_14;P.CI_15;P.PB_1;P.PB_2;P.PB_3;P.PB_4;P.PB_5;P.PB_6;P.PB_7;P.PB_8;P.PB_9;P.PB_10;P.PB_11;P.PB_12;P.PB_13;P.PB_14;P.PB_15;P.PB_16;P.PB_17;P.PB_18;P.PB_19;P.PB_20;P.PB_21;P.PB_22;P.Kindness;P.Purity;P.Autonomy;P.Helpfulness;P.RespectAuthority;P.Fairness;P.AvoidHarm;P.Rights;P.Patriotism;P.RespectTradition;P.Knowledge;P.Facts;P.Empiricism;P.Irrational;P.Ignorance;TechProblems;GM_Health2;Vaccines2;Detox2;PI.Abortion;PI.GayMarriage;PI.MicroAggressions;PI.ControlSpeakers;PI.MenFeminism;FMIb_1;FMIb_2;FMIb_3;FMIb_4;FMIb_5;P.FMI_1;P.FMI_2;P.FMI_3;P.FMI_4;P.FMI_5;P.Rb_1;P.Rb_2;P.Rb_3;P.Rb_4;P.Rb_5;P.Rb_6;P.Rb_7;P.Rb_8;P.Rb_9;CRT_ACC_1;CRT_ACC_2;CRT_ACC_3;CRT_ACC_4;CRT_ACC_5;CRT_ACC_6;AOT_split;DemRep;RepDem;ZConservativeOpinions;ZRevAOTE;ZCRT_ACC;ZDemRep_C;AOTxCRT;AOTxDemRep;DemRepxCRT;AOTxDemRepxCRT;ZConspiracist_Ideation;ConspxDemRep;AOTxDemRepxConsp;Hisp;White;Black;ZConservatism;AOTxConserv;College;CollegeDegree
132;1;50;0;50;77.2727272727273;100;100;50;50;50;53.3333333333333;73.0769230769231;77.7777777777778;3;1;4;50;0;1;100;2;100;0;50;100;50;50;50;50;33.3333333333333;50;4;100;50;50;100;100;100;100;100;100;0;0;100;50;5;5;R_3s4f1soPblS1SUS;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;38;2;17;1;1;6;1;4;646325;1;1;1;6;6;6;6;6;6;6;6;1.193;16.178;16.623;17;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2.145;24.849;25.648;35;1;7;7;1;7;1;7;7;7;1;1;7;7;7;1;7;7;7;7;7;7;7;7;.191;115.179;115.788;53;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;.168;33.996;34.513;32;1;4;7;1;1;4;1;7;7;7;7;7;4;1;2.074;69.579;70.544;46;1;1;7;4;7;4;4;4;4;3;4;4;4;4;4;4;3.007;55.749;56.435;47;7;7;7;7;7;1;1;7;7;1;8;50;20;1;7;1;38;1;10;1; ; ; ; ; ; ; ;3;3; ;2;100;7;2;2; ;39.497192382812;-119.77639770508;-1;6;6;1;1;1;1;6;6;100;100;0;0;0;0;100;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;0;100;0;100;100;100;0;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;7;7;7;1;7;1;4;4;4;4;4;4;4;4;50;50;50;50;50;100;100;100;100;100;0;0;100;100;0;0;0;0;0;0;1;1;2;.00723880100574673;-.183817334734456;-.972539951445464;-1.5370006163266;.178769701797483;.282527356778372;1.49479450477392;-.274769141843253;-.130742465498608;.200951250051419;-.0369383231960091;0;1;0;.041999467304118;-.00772023014010991;2;2
133;1;90;0;50;11.3636363636364;50;100;50;50;50;41.6666666666667;70.5128205128205;79.6296296296296;3;1;4;50;0;2;40;2;83.3333333333333;0;50;83.3333333333333;0;0;50;100;0;50;2;83.3333333333333;50;83.3333333333333;100;50;83.3333333333333;83.3333333333333;100;100;16.6666666666667;100;50;16.6666666666667;3;4;R_3GBpQlNvJvFP3Az;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;45;2;1;1;1;4;2;4;692696;2;1;1;6;6;2;2;1;1;4;6;8.288;73.934;73.876;22;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;646.589;733.059;734.058;33;1;1;4;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;2;1;2;4;4;9.001;127.358;128.285;59;1;6;3;6;6;3;6;6;6;4;4;3;4;3;2;3;11.01;168.091;169.224;53;1;6;6;2;4;4;2;7;7;4;7;6;2;7;6.054;310.784;311.849;54;1;2;7;4;6;4;1;4;1;1;7;4;4;4;4;4;342.807;1459.371;1460.074;59;7;6;7;4;4;3;7;7;7;1;8;50;20;1;7;1;45;1;2;1; ; ; ; ; ; ; ;3;3; ;5;0;1;2;2; ;38.957595825195;-122.63600158691;-1;6;6;5;5;6;6;4;6;100;100;80;80;100;100;60;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;0;50;0;0;0;0;0;66.6666666666667;0;0;0;0;0;0;0;0;0;16.6666666666667;0;16.6666666666667;50;50;100;40;100;100;40;100;100;100;60;60;40;60;40;20;40;6;4;6;2;6;1;4;7;1;4;4;4;4;4;50;50;50;50;50;100;83.3333333333333;100;50;50;33.3333333333333;100;100;100;0;0;0;0;0;0;2;1;2;-.304089010178303;1.15776761161771;-1.24763717770354;-.70847225025243;-1.44447391539529;-.820246225072183;.883916318786216;1.02336968527104;-.130742465498608;.0926274087353492;.107241013781863;0;1;0;.041999467304118;.048625622949905;2;2
134;1;77.5;0;33.3333333333333;8.33333333333333;80;76.6666666666667;50;50;63.3333333333333;55;82.0512820512821;87.037037037037;1;1;4;50;0;1;52;2;83.3333333333333;83.3333333333333;100;16.6666666666667;33.3333333333333;16.6666666666667;100;0;83.3333333333333;33.3333333333333;1;100;100;83.3333333333333;100;100;83.3333333333333;66.6666666666667;100;100;50;100;33.3333333333333;50;4;5;R_3kjN1qOBeT4Jwg9;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;78;2;10;1;1;6;1;1;508258;2;1;1;5;4;2;4;1;1;5;5;6.301;80.745;81.866;12;1;1;1;4;2;2;2;2;4;2;1;2;3;3;2;4;282.963;407.56;408.937;26;1;1;1;1;2;1;1;2;1;1;1;2;1;1;1;1;2;6;2;2;1;1;1;4.664;92.14;94.847;35;1;5;5;4;5;5;5;5;5;5;5;4;3;4;3;4;4.551;494.801;497.765;28;1;6;7;3;5;7;2;7;7;7;7;4;4;7;5.447;78.745;80.035;23;1;2;2;7;2;7;2;5;7;6;5;6;4;6;6;2;6.205;172.277;173.469;25;7;7;7;7;6;2;6;7;7;1;8;50;20;1;7;1;78;1;6;1; ; ; ; ; ; ; ;3;3; ;1;1;1;2;2; ;42.983001708984;-76.076599121094;-1;5;4;5;3;6;6;5;5;80;60;80;40;100;100;80;80;0;0;75;25;25;25;25;75;25;0;25;50;50;25;75;0;0;0;16.6666666666667;0;0;16.6666666666667;0;0;0;16.6666666666667;0;0;0;0;16.6666666666667;83.3333333333333;16.6666666666667;16.6666666666667;0;0;0;80;80;60;80;80;80;80;80;80;80;60;40;60;40;60;5;3;6;4;6;6;3;1;3;6;4;6;2;6;83.3333333333333;50;83.3333333333333;16.6666666666667;83.3333333333333;100;100;100;100;83.3333333333333;16.6666666666667;83.3333333333333;100;100;0;0;0;0;0;0;2;1;2;.423357374475469;.0361062496465637;-1.24763717770354;-1.37007356282913;-.0450474994064981;-.0494682180936654;1.70935471317436;.0617183880084037;-.893039416524165;1.22352969514411;.0441770686228571;0;1;0;.041999467304118;.00151644325150517;2;2
135;1;87.5;.333333333333333;68.3333333333333;64.3939393939394;45;90;0;50;37.5;25;71.7948717948718;66.6666666666667;5;2; ;25;25;2;16;2;0;0;50;100;0;50;0;0;0;50;5;100;100;100;100;100;100;33.3333333333333;66.6666666666667;100;33.3333333333333;0;33.3333333333333;66.6666666666667;3;5;R_3gYDwYbCSz5gRdv;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;36;2;1;1;1;6;1;2;612710;2;1;1;6;5;5;1;1;1;6;6;4.79;56.079;57.707;13;1;4;4;4;4;4;4;4;3;4;3;3;4;3;4;4;9.082;96.974;98.115;27;1;4;7;1;5;1;3;4;7;7;7;4;1;4;7;7;7;4;6;4;7;4;6;5.269;99.024;100.361;34;1;6;1;3;6;6;6;6;6;3;3;3;1;1;3;1;6.077;102.368;103.3;23;1;7;7;5;5;7;1;7;5;7;7;5;5;1;3.346;68.52;69.644;22;1;7;7;1;7;4;4;4;7;1;7;4;5; ;5;5;12.728;131.581;133.252;26;4;4;6;4;7;7;5;4;4;1;8;10;20;1;7;3;36;1;1;1; ; ; ; ; ; ; ;1;3; ;1;1;1;2;2; ;41.428894042969;-87.977096557617;-1;6;5;2;6;6;6;6;6;100;80;20;100;100;100;100;100;75;75;75;75;75;75;75;50;75;50;50;75;50;75;75;50;100;0;66.6666666666667;0;33.3333333333333;50;100;100;100;50;0;50;100;100;100;50;83.3333333333333;50;100;50;83.3333333333333;100;0;40;100;100;100;100;100;40;40;40;0;0;40;0;3;3;7;3;1;1;4;1;1;4;3; ;3;3;50;33.3333333333333; ;33.3333333333333;33.3333333333333;50;50;83.3333333333333;50;100;100;66.6666666666667;50;50;0;1;0;0;0;1;2;1;2;-1.21339699099552;.933435339223485;-.040451856412649;-.70847225025243;-.0377591923127608;-.661313035244802;.0286590177395577;.0267513399455359;.707784180629505;-.501445451143658;-.468066904790354;0;1;0;-.878439562628396;-.819966531129366;2;2
136;1;57.5;.333333333333333;38.3333333333333;9.09090909090909;40;73.3333333333333;0;0;46.6666666666667;15;65.3846153846154;46.2962962962963;5;2;1;0;50;2;28;2;16.6666666666667;0;33.3333333333333;16.6666666666667;0;16.6666666666667;16.6666666666667;0;0;50;5;100;66.6666666666667;100;83.3333333333333;66.6666666666667;100;50;100;66.6666666666667;33.3333333333333;33.3333333333333;0;50;4;5;R_1DJ3n1mUX8nlyoW;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;32;2;18;1;1;6;1;1;652938;2;1;1;6;5;5;4;4;4;6;3;6.108;31.173;31.852;20;1;1;3;3;4;1;4;1;3;1;2;3;1;4;4;3;17.195;65.53;66.064;32;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;6;1;1;1;3;1;6.098;73.4;74.19;51;1;4;2;3;6;3;3;6;6;3;4;3;4;3;1;1;4.188;74.19;74.844;37;1;7;7;4;7;5;1;6;7;5;5;5;4;3;2.907;51.624;52.262;37;1;6;7;2;2;3;2;4;7;1;7;4;5;4;4;4;4.959;99.149;100.25;58;6;4;4;4;4;2;4;2;4;1;8;50;20;2;7;3;32;1;10;1; ; ; ; ; ; ; ;1;1; ;1;0;1;2;2; ;40.036407470703;-75.221900939941;-1;6;5;2;3;3;3;6;3;100;80;20;40;40;40;100;40;0;50;50;75;0;75;0;50;0;25;50;0;75;75;50;0;16.6666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;66.6666666666667;83.3333333333333;0;0;0;33.3333333333333;0;60;20;40;100;40;40;100;100;40;60;40;60;40;0;0;4;1;7;3;2;1;4;1;1;4;3;4;4;4;50;33.3333333333333;50;50;50;83.3333333333333;50;50;50;50;16.6666666666667;50;16.6666666666667;50;0;0;0;1;0;1;1;1;2;-3.09055545530182;.925041878901283;.362778151193007;-.87225664267505;.335584982603913;-.806873923624253;-.316435652195474;-.292716230258254;-.664350331216498;.57948398946696;.536046958409728;0;1;0;-1.79887859256091;-1.66403803317784;2;2
137;1;55;.666666666666667;45;29.5454545454545;15;96.6666666666667;0;25;33.3333333333333;18.3333333333333;53.8461538461539;44.4444444444444;4;2;1;12.5;37.5;1;36;2;0;0;0;0;33.3333333333333;33.3333333333333;16.6666666666667;66.6666666666667;0;33.3333333333333;2;100;50;100;83.3333333333333;100;66.6666666666667;33.3333333333333;33.3333333333333;83.3333333333333;0;33.3333333333333;16.6666666666667;0;3;6;R_2OZ8wfCIGNeRbGW;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;44;2;2;1;1;7;1;2;595552;1;1;1;6;4;6;6;4;1;4;5;6.664;37.604;38.395;17;1;2;3;3;2;4;1;2;4;3;2;2;2;4;4;4;11.727;91.443;92.298;31;1;1;4;1;2;4;3;1;5;1;2;2;2;1;1;1;4;5;5;1;5;4;6;4.871;75.461;76.548;48;1;6;2;5;6;2;6;6;6;1;2;4;3;3;2;2;9.964;81.262;82.206;34;1;7;7;5;6;4;3;6;3;7;6;7;1;3;7.532;58.617;59.408;30;1;7;7;2;1;1;3;5;3;1;5;2;5;1;3;4;5.006;108.814;109.698;39;5;4;4;5;3;2;4;2;4;1;8;10;39;1;8;3;44;1;3;1; ; ; ; ; ; ; ;1;2; ;1;3;1;2;2; ;43.047698974609;-88.003997802734;-1;6;4;1;1;3;6;4;5;100;60;0;0;40;100;60;80;25;50;50;25;75;0;25;75;50;25;25;25;75;75;75;0;50;0;16.6666666666667;50;33.3333333333333;0;66.6666666666667;0;16.6666666666667;16.6666666666667;16.6666666666667;0;0;0;50;66.6666666666667;66.6666666666667;0;66.6666666666667;50;83.3333333333333;100;20;80;100;20;100;100;100;0;20;60;40;40;20;20;3;2;5;1;1;1;3;5;3;2;3;1;5;4;16.6666666666667;33.3333333333333;0;66.6666666666667;50;66.6666666666667;50;50;66.6666666666667;33.3333333333333;16.6666666666667;50;16.6666666666667;50;0;1;1;0;1;1;1;1;2;-2.82118204170986;.555422141022703;1.69809625383148;-1.5370006163266;.943160256965711;-.853684173073335;-2.60997498872087;-1.44963789625105;-.359431550806275;.55244651511647;.306841026226521;0;1;0;-1.33865907759465;-.743520890977099;2;2
138;1;77.5;.666666666666667;36.6666666666667;36.3636363636364;50;100;25;25;46.6666666666667;26.6666666666667;60.2564102564103;53.7037037037037;4;2;1;25;25;2;32;2;0;0;50;83.3333333333333;0;0;50;33.3333333333333;16.6666666666667;33.3333333333333;2;100;83.3333333333333;66.6666666666667;100;50;83.3333333333333;33.3333333333333;66.6666666666667;50;33.3333333333333;66.6666666666667;0;50;4;4;R_2EbhW3YPd1NYeZH;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;31;2;2;1;1;4;1;2;216081;1;1;1;6;5;3;4;1;2;4;6;1.81;33.102;34.106;31;1;2;4;3;3;2;2;1;1;2;2;2;3;4;2;4;2.814;82.042;83.33;53;1;2;3;3;2;2;3;3;4;3;3;3;3;3;3;3;4;3;4;4;4;6;2;.03;65.548;73.874;85;1;6;1;6;6;3;6;6;6;4;6;4;3;3;1;2;3.352;69.656;70.555;54;1;5;7;5;7;6;2;7;5;4;4;5;4;5;2.963;55.328;55.806;49;1;7;7;4;6;4;1;5;5;2;7;4;5;4;4;4;.386;86.338;87.565;61;5;5;4;4;4;4;4;4;4;1;8;10;20;2;8;3;31;1;2;1; ; ; ; ; ; ; ;2;2; ;1;9;1;2;2; ;42.231597900391;-83.265899658203;-1;6;5;4;3;6;5;4;6;100;80;60;40;100;80;60;100;25;75;50;50;25;25;0;0;25;25;25;50;75;25;75;16.6666666666667;33.3333333333333;33.3333333333333;16.6666666666667;16.6666666666667;33.3333333333333;33.3333333333333;50;33.3333333333333;33.3333333333333;33.3333333333333;33.3333333333333;33.3333333333333;33.3333333333333;33.3333333333333;50;33.3333333333333;50;50;50;83.3333333333333;16.6666666666667;100;0;100;100;40;100;100;100;60;100;60;40;40;0;20;3;1;6;3;1;1;3;3;1;4;3;4;4;4;50;33.3333333333333;50;50;50;66.6666666666667;66.6666666666667;50;50;50;50;50;50;50;0;1;0;1;1;1;2;1;2;-1.1224661929138;.0361062496465637;1.16673346487824;-.70847225025243;.042126369753894;-.025580275935277;-.826598283307101;-.0298453639745072;-.740580026319054;.524680397738264;.0189442414253961;0;1;0;-.878439562628396;-.0317171581476791;2;2
139;1;70;.5;66.6666666666667;72.7272727272727;20;76.6666666666667;0;25;40;15;68.0555555555556;62.9629629629629;4;2;1;12.5;37.5;1;32;2;0;0;0;0;16.6666666666667;16.6666666666667;33.3333333333333;83.3333333333333;0;0;1;100;83.3333333333333;100;100;33.3333333333333;100;16.6666666666667;83.3333333333333;66.6666666666667;66.6666666666667;66.6666666666667;0; ;4;5;R_1jAQJbQcMcxf93s;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;42;2;1;1;1;6;1;3;509558;1;1;1;5;4;2;3;2;2;4;4;5.682;66.402;67.101;31;1;4;4;2;4;5;4;5;4;5;4;1;4;1;4;4;12.2;263.469;265.222;147;1;6;7;1;6;5;6;6;6;1;6;6;3;6;6;1;6;7;7;6;7;6;7;.14;85.138;86.802;74;1;5;2;5;5;2;4;5;5;1;3;3;3;3;1;3;.589;113.301;114.203;47;1;7;7;6;7;6;1;7;6;3;5;3; ;5;4.09;70.809;72.2;46;1;7;7;3;1;1;2;7;2;1;6;4;7;1;1;4;.201;158.812;159.836;63;5;5;5;5;5;5;4;5;4;1;8;50;20;2;8;3;42;1;2;1; ; ; ; ; ; ; ;1;2; ;1;0;1;2;2; ;39.092300415039;-94.504699707031;-1;5;4;5;4;5;5;4;4;80;60;80;60;80;80;60;60;75;75;25;75;100;75;100;75;100;75;0;75;0;75;75;83.3333333333333;100;0;83.3333333333333;66.6666666666667;83.3333333333333;83.3333333333333;83.3333333333333;0;83.3333333333333;83.3333333333333;33.3333333333333;83.3333333333333;83.3333333333333;0;83.3333333333333;100;100;83.3333333333333;100;83.3333333333333;100;80;20;80;80;20;60;80;80;0;40;40;40;40;0;40;2;1;7;5;1;1;1;6;2;4;1;1;7;4;50;0;0;100;50;66.6666666666667;66.6666666666667;66.6666666666667;66.6666666666667;66.6666666666667;66.6666666666667;50;66.6666666666667;50;0;0;0;1;1;1;2;1;2;-1.75898177948585;-.636890567536127;.563140804232796;-1.37007356282913;-.358659066410576;.872586928996485;-.771544328029685;.491389304958106;.63155448552695;-.865276104106624;.551086189019917;0;1;0;-1.33865907759465;.852579339666647;2;2
140;1;92.5;.333333333333333;1.66666666666667;2.27272727272727;45;96.6666666666667;25;25;20;18.3333333333333;78.2051282051282;5.55555555555556;5;2;1;25;25;1;76;2;0;0;33.3333333333333;0;0;0;0;100;0;50;1;100;100;100;100;100;100;100;83.3333333333333;83.3333333333333;33.3333333333333;33.3333333333333;66.6666666666667;16.6666666666667;5;5;R_z6ZdHJyRXOOacdX;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;53;2;14;1;1;6;1;4;260813;1;1;1;6;5;1;1;2;1;5;6;15.978;40.522;41.289;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;25.313;58.393;59.641;15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;38.483;69.067;70.403;22;1;6;2;5;6;4;6;6;6;2;5;6;6;6;2;4;9.663;52.68;53.917;15;1;7;7;1;3;7;1;7;6;7;6;5;2;3;8.516;39.558;40.52;14;1;7;7;1;1;3;1;4;1;1;7;1;4;1;7;4;12.403;291.035;292.4;16;1;1;1;1;1;1;4;1;1;1;8;50;20;1;8;3;53;1;8;1; ; ; ; ; ; ; ;2;2; ;1;1;1;2;2; ;34.260604858398;-117.20159912109;-1;6;5;6;6;5;6;5;6;100;80;100;100;80;100;80;100;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;100;20;80;100;60;100;100;100;20;80;100;100;100;20;60;7;5;7;3;1;1;4;7;1;1;4;1;1;4;0;50;0;0;50;0;0;0;0;0;0;50;0;0;0;0;0;0;1;1;2;1;2;-1.57712018332241;1.38209988401194;-.040451856412649;-1.37007356282913;-.0559085060559901;-1.89357851227397;.0554220190383303;.0765987660845841;-2.34140362347272;3.2078952044323;4.43363158996836;0;1;0;-.878439562628396;-1.21409121762021;2;2
141;1;72.5;.666666666666667;11.6666666666667;31.8181818181818;45;80;25;25;30;21.6666666666667;85.8974358974359;42.5925925925926;5;2;1;25;25;3;56;2;0;0;33.3333333333333;0;0;33.3333333333333;16.6666666666667;50;33.3333333333333;50;1;100;100;100;100;83.3333333333333;100;100;100;100;33.3333333333333;83.3333333333333;50;66.6666666666667;5;5;R_9NdShyMNbZyGgjn;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;76;2;19;1;1;6;2;1;772050;2;1;1;6;4;4;3;2;3;5;6;21.778;55.484;55.552;16;1;1;1;1;1;1;1;2;3;1;1;2;1;1;2;3;12.748;84.373;85.369;30;1;2;2;2;1;4;1;4;4;2;2;4;1;3;1;2;1;4;5;3;4;6;6;115.166;186.157;187.07;38;1;5;2;5;5;3;5;5;5;5;3;5;3;3;4;4;18.965;84.399;85.423;24;1;7;7;1;4;7;1;7;7;6;7;5;5;6;5.112;64.164;65.301;24;1;7;7;2;1;3;3;4;4;3;7;2;6;3;5;4;6.178;120.706;121.991;26;4;4;4;4;2;2;4;4;4;1;8;10;39;1;8;3;76;1;11;1; ; ; ; ; ; ; ;2;2; ;1;0;1;2;2; ;40.861694335938;-74.410400390625;-1;6;4;3;4;5;4;5;6;100;60;40;60;80;60;80;100;0;0;0;0;0;0;25;50;0;0;25;0;0;25;50;16.6666666666667;16.6666666666667;16.6666666666667;0;50;0;50;50;16.6666666666667;16.6666666666667;50;0;33.3333333333333;0;16.6666666666667;0;50;66.6666666666667;33.3333333333333;50;83.3333333333333;83.3333333333333;80;20;80;80;40;80;80;80;80;40;80;40;40;60;60;7;4;7;3;1;1;4;4;1;2;2;3;3;4;16.6666666666667;16.6666666666667;33.3333333333333;33.3333333333333;50;50;50;50;50;16.6666666666667;16.6666666666667;50;50;50;0;1;1;0;1;1;2;1;2;-1.39525858715896;-.412558295141897;1.16673346487824;-.0468709376757341;-.481345569155165;.0193369941392029;-.0546858915165012;.0225611181723625;-1.88402545285739;.0883060395803753;-.0364313891400125;0;1;0;-.878439562628396;.362407528343165;2;2
142;1;65;1;35;30.3030303030303;10;60;25;25;56.6666666666667;36.6666666666667;69.2307692307692;29.6296296296296;5;2;1;25;25;1;16;2;0;0;83.3333333333333;16.6666666666667;16.6666666666667;50;83.3333333333333;50;50;16.6666666666667;3;83.3333333333333;83.3333333333333;83.3333333333333;100;100;100;66.6666666666667;66.6666666666667;66.6666666666667;50;33.3333333333333;33.3333333333333;33.3333333333333;3;5;R_2wKy4dwVn5HwHVu;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;65;2;15;1;1;6;1;1;281534;2;1;1;5;4;4;4;2;3;5;5;34.073;135.792;136.882;8;1;2;4;3;2;2;3;2;2;2;2;3;3;2;2;2;53.56;116.759;117.859;16;1;4;2;1;2;4;2;4;4;1;2;4;2;3;2;1;2;4;2;4;3;4;5;5.534;64.782;66.047;23;1;5;1;4;3;2;4;3;5;1;2;2;2;2;1;2;63.329;135.605;136.706;17;1;6;6;3;5;6;1;7;5;7;5;4;3;3;6.47;53.514;54.371;15;1;7;7;6;2;6;4;6;4;4;6;4;4;4;3;3;33.307;264.722;265.808;16;3;3;1;2;4;6;3;1;2;1;4;10;39;2;8;3;65;2;10;1; ; ; ; ; ; ; ;2;2; ;1;6;1;2;2; ;41.305404663086;-73.121696472168;-1;5;4;3;3;5;4;5;5;80;60;40;40;80;60;80;80;25;75;50;25;25;50;25;25;25;25;50;50;25;25;25;50;16.6666666666667;0;16.6666666666667;50;16.6666666666667;50;50;0;16.6666666666667;50;16.6666666666667;33.3333333333333;16.6666666666667;0;16.6666666666667;50;16.6666666666667;50;33.3333333333333;50;66.6666666666667;80;0;60;40;20;60;40;80;0;20;20;20;20;0;20;5;3;7;4;1;1;2;4;2;4;4;4;5;5;50;50;50;66.6666666666667;66.6666666666667;33.3333333333333;33.3333333333333;0;16.6666666666667;50;83.3333333333333;33.3333333333333;0;16.6666666666667;1;1;1;1;1;1;2;1;2;-.576881404423468;-1.08555511232459;2.37391878616913;-1.37007356282913;-2.57701967456928;1.48729036038992;-3.25244336923373;3.53070652701788;-.816809721421609;1.11908940518157;-1.21483322494313;0;1;0;-.878439562628396;.95359455807943;2;2
